est,time,space,depth,temp,sal,cloro,nauplios,calyptopsis,furcilias,adults,ni,Thysanopoda monacantha,Thysanopoda tricuspidata,Thysanopoda aequalis,Thysanopoda astylata,Thysanopoda (astylata/aequalis group),Thysanopoda pectinata,Thysanopoda egregia,Thysanopoda spp,Euphausia mutica,Euphausia diomedae,Euphausia recurva,Euphausia lucens,Euphausia similis,Euphausia longirostris,Euphausia spp (gibba group),Euphausia spp.,Thysanoessa gregaria,Thysanoessa spp.,Nematoscelis spp.,Nematobrachion flexipes,Stylocheiron carinatum,Stylocheiron affine,Stylocheiron suhmi,Stylocheiron microphthalma,Stylocheiron abbreviatum,Stylocheiron spp
31,D,1,61.5636258,20.33,36.17,0.14,0,115.5501211,662.8927997,15.2039633,383.1398751,0,0,0,0,0,0,0,206.7739008,0,0,0,0,0,0,0,0,0,18.24475596,24.32634127,0,30.40792659,0,0,0,0,15.2039633
32,N,1,51.3030215,18.66,35.88,0.1,0,28.94141563,192.9427709,83.60853404,73.9613955,0,0,0,0,9.647138543,0,0,12.86285139,0,0,54.66711841,0,0,0,19.29427709,83.60853404,0,0,0,0,0,0,19.29427709,0,0,3.215712848
33,N,1,63.55866996,19.33,35.85,0.11,0,111.11453,396.0235814,116.812711,319.0981375,0,0,0,2.849090513,5.698181027,0,0,17.09454308,0,0,39.88726719,0,0,0,65.52908181,31.33999565,0,0,14.24545257,2.849090513,0,0,14.24545257,0,0,2.849090513
34,N,1,51.3030215,19.29,35.76,0.1,0,62.71356299,384.7561837,40.67906788,354.2468828,1.694961162,0,0,0,0,0,0,1.694961162,0,1.694961162,0,0,0,1.694961162,5.084883485,1.694961162,6.779844647,5.084883485,11.86472813,0,11.86472813,0,6.779844647,0,0,15.25465046
35,D,2,51.3030215,19.4,35.78,0.13,6.069068549,21.24173992,182.0720565,27.31080847,182.0720565,3.034534275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.1381371,0,0,0,9.103602824,0,3.034534275,0,0,0
36,N,2,61.03130316,19.41,35.88,0.12,0,177.6755659,1217.481434,157.4851607,1187.195826,0,0,0,0,8.076162085,0,0,2.019040521,0,22.20944573,0,0,0,0,4.038081043,12.11424313,0,0,0,0,4.038081043,0,125.1805123,6.057121564,0,4.038081043
37,D,2,44.46261863,20.45,36.2,0.11,0,45.24302915,211.134136,16.96613593,209.2490098,0,0,0,0,0,0,0,9.425631073,0,0,0,0,0,0,0,0,1.885126215,0,5.655378644,0,0,0,1.885126215,0,0,0
39,N,2,54.94037403,20.52,36.08,0.11,0,344.4295139,649.4956548,200.7532024,582.5779207,0,3.936337302,5.904505953,0,27.55436111,0,0,0,0,145.6444802,0,0,0,0,0,0,0,0,0,7.872674604,0,0,37.39520437,39.36337302,0,0
40,D,3,47.88282007,20.45,36.11,0.1,0,6.937013169,23.12337723,6.937013169,30.0603904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,N,3,80.30070109,19.2,35.83,0.09,0,34.9201028,907.9226729,131.9203884,880.762593,0,0,3.880011423,0,0,0,0,0,0,7.760022846,0,0,0,0,27.16007996,11.64003427,0,0,0,11.64003427,0,11.64003427,77.60022846,0,0,7.760022846
42,N,3,54.94037403,20.37,36.01,0.08,0,1264.846063,719.6537942,51.79326549,706.0239875,0,0,0,0,0,0,0,8.177884025,0,0,0,0,0,0,0,0,0,0,5.451922683,0,19.08172939,0,32.7115361,0,0,0
43,N,3,38.82285677,20.72,36.2,0.09,0,1455.740995,1968.983012,432.3675176,1872.555724,0,0,0,0,0,0,0,18.66334608,0,139.9750956,0,0,0,0,0,0,0,0,3.110557681,9.331673042,52.87948057,0,214.62848,43.54780753,0,46.65836521
45,D,4,56.19098901,19.84,35.96,0.09,0,1.919484902,49.90660746,30.71175844,53.74557727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.919484902,0,0,0,11.51690941,0,9.597424512,0,0,3.838969805
46,N,4,57.33887193,20.22,36.13,0.13,0,4.807513644,524.0189872,158.6479502,245.1831958,0,0,2.403756822,0,2.403756822,0,0,7.211270466,0,76.9202183,16.82629775,0,0,0,0,4.807513644,0,0,0,9.615027288,4.807513644,0,52.88265008,0,0,259.6057368
47,N,4,38.82285677,19.46,35.92,0.04,0,3.175029536,487.3670337,25.40023629,233.3646709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.33781012,207.9644346,0,0,6.350059071,0,6.350059071,0,0,25.40023629
48,D,4,46.77947276,19.59,35.84,0.1,0,0,35.68306303,0,11.89435434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.78870869,0,0,0,0,0,0,0,0,0
49,N,5,56.19098901,19.92,35.96,0.1,0,0,4.033248325,2.016624162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.016624162,0,0,0,0,0,4.033248325
50,N,5,70,19.92,35.94,0.1,0,95.27653251,619.2974613,138.1509721,371.5784768,0,0,0,0,0,0,0,4.763826626,0,0,100.0403591,0,0,0,0,23.81913313,0,9.527653251,0,4.763826626,23.81913313,0,85.74887926,0,9.527653251,123.8594923
51,D,5,87.1422456,20.8,36.02,0.11,0,3.116310363,797.775453,84.14037981,710.5187628,0,0,0,0,0,0,0,9.34893109,0,0,0,0,0,0,0,0,3.116310363,0,43.62834509,0,3.116310363,0,28.04679327,0,3.116310363,81.02406945
52,N,5,55.62305899,19.48,35.86,0.13,0,0,34.67826752,27.74261401,6.935653504,0,0,0,0,0,0,0,2.311884501,0,0,0,0,0,0,0,0,43.92580552,0,0,0,6.935653504,0,2.311884501,0,0,0
53,N,6,51.3030215,20.54,35.97,0.14,0,57.44856408,981.8481861,443.9207224,642.3793984,0,0,0,0,0,0,0,18.27908857,0,0,52.22596735,0,0,0,13.05649184,0,0,5.222596735,0,10.44519347,28.72428204,0,373.4156665,0,2.611298367,279.4089253
54,D,6,98.50583605,19.48,35.91,0.1,0,3.479420273,546.2689828,41.75304327,347.9420273,0,0,0,0,0,0,0,13.91768109,0,0,0,0,0,0,0,0,0,6.958840546,0,0,6.958840546,0,27.83536218,0,3.479420273,180.9298542
55,N,6,30.52943926,19.2,35.9,0.1,0,0,231.6531774,226.2025144,152.6185639,0,0,2.725331498,2.725331498,2.725331498,0,0,0,8.175994495,0,84.48527645,0,0,0,5.450662997,43.60530397,0,2.725331498,0,21.80265199,51.78129847,0,51.78129847,16.35198899,0,10.90132599
56,D,6,54.72322293,18.58,35.85,0.1,0,0,521.7183492,37.71457946,72.28627729,0,0,0,0,0,0,0,3.142881621,0,0,3.142881621,0,0,0,0,0,446.2891902,0,25.14305297,0,9.428644864,0,0,0,0,0
58,D,7,51.3030215,17.72,35.69,0.13,0,0,996.728597,51.49151424,404.5761833,0,0,0,0,0,0,0,14.71186121,0,0,0,0,0,0,0,0,22.06779182,592.1524137,3.677965303,0,3.677965303,0,0,0,0,7.355930605
60,N,7,129.9038106,17.98,35.7,0.09,0,30.46552232,715.9397745,350.3535067,512.8362924,0,0,0,0,0,0,0,0,10.15517411,0,274.1897009,0,0,81.24139286,0,25.38793527,0,10.15517411,0,5.077587053,30.46552232,0,10.15517411,0,101.5517411,5.077587053
61,D,7,61.01049646,17.85,35.78,0.08,0,13.78484775,142.4434268,27.5696955,133.2535283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.59494925,4.59494925,4.59494925,0,4.59494925,0,0,0,18.379797,0
62,N,7,72.69507745,17.38,35.71,0.19,0,6.307612152,548.7622573,2087.819622,126.152243,0,0,0,0,0,6.307612152,0,0,12.6152243,0,2062.589174,0,0,44.15328507,126.152243,88.30657013,0,50.46089722,0,44.15328507,18.92283646,0,18.92283646,0,37.84567291,0
65,N,8,21.90082511,17.44,35.53,0.26,0,0,93.56506563,513.098747,27.16405131,0,0,0,0,0,0,0,0,3.018227924,0,555.3539379,12.07291169,0,0,0,9.054683771,0,0,0,0,0,0,0,0,0,0
67,D,8,96.41814145,17.67,35.47,0.29,0,0,70.38929504,115.6395561,65.36148825,0,0,0,0,0,0,5.027806788,0,0,0,100.5561358,0,0,0,0,0,0,0,0,0,5.027806788,0,0,0,10.05561358,0
68,N,8,70.71067812,17.73,35.53,0.18,0,0,2097.442814,5577.814956,97.95749405,0,0,0,0,0,0,0,0,0,5.762205533,5433.759817,478.2630592,69.14646639,11.52441107,11.52441107,1371.404917,51.85984979,103.7196996,0,5.762205533,5.762205533,0,0,0,23.04882213,5.762205533
69,D,8,100.369591,17.48,35.62,0.22,13.94235783,306.7318723,1017.792122,27.88471566,822.599112,0,0,0,0,0,0,0,0,0,0,13.94235783,27.88471566,0,0,0,0,0,0,0,0,6.971178916,0,0,0,76.68296807,97.59650482
70,D,9,83.35900446,17.6,35.61,0.25,0,390.3228173,11025.28287,235.263068,10795.36669,0,0,0,0,0,0,0,0,0,0,10.69377582,0,0,0,0,0,0,90.89709444,64.1626549,0,32.08132745,0,0,5.346887908,85.55020653,176.447301
71,N,9,72.21780278,17.63,35.62,0.35,105.7868585,158.6802878,6717.465516,137.5229161,6505.891799,0,0,0,0,0,10.57868585,0,0,0,0,0,0,0,0,0,0,10.57868585,31.73605756,63.47211511,0,126.9442302,0,0,0,105.7868585,0
72,N,9,63.59031171,17.54,35.58,0.3,269.4482525,3398.347347,2205.076515,307.94086,1605.691627,0,0,0,0,0,0,0,0,16.49683178,0,263.9493085,5.498943928,60.48838321,10.99788786,49.49049535,49.49049535,10.99788786,263.9493085,0,10.99788786,60.48838321,0,0,0,93.48204677,10.99788786
74,D,9,98.11224543,17.28,35.57,0.16,0,0,8.112265973,24.33679792,0,0,0,0,0,0,0,0,0,0,0,24.33679792,8.112265973,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,D,10,91.92533317,17.59,35.57,0.21,0,427.5656402,715.707702,27.88471566,585.5790289,0,0,0,0,0,9.294905221,0,0,0,0,9.294905221,0,0,0,0,0,27.88471566,92.94905221,0,0,0,0,0,0,18.58981044,0
77,N,10,73.87937704,17.52,35.57,0.19,836.0171189,136.4925908,2661.605521,119.431017,2308.999662,0,0,0,0,0,0,0,0,0,0,125.1182083,11.37438257,45.49753028,28.43595643,5.687191285,210.4260775,0,0,28.43595643,0,0,0,0,0,17.06157386,0
79,N,10,99.48450871,17.77,35.48,0.21,0,0,29.63626815,9.878756051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.5150242,0,0,0,0,0
81,D,10,74.56493673,17.45,35.23,0.42,0,2605.923951,5587.216449,0,5486.155686,0,0,0,0,0,0,0,0,0,0,0,93.84213674,0,0,0,0,7.218625903,0,0,0,0,0,0,0,0,0
83,D,11,74.56493673,17.69,35.15,0.9,1408.965025,8162.948744,5655.249526,0,5500.13411,0,0,0,0,0,0,0,0,0,0,12.92628463,122.799704,0,0,0,19.38942695,0,0,0,0,0,0,0,0,0,0
84,N,11,72.69507745,17.37,35.09,0.96,0,400.9113771,4958.640716,938.9766463,1804.101197,0,0,0,0,0,0,0,0,0,0,0,4093.516166,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,N,11,85.28767377,17.41,35,0.86,0,262.282856,13084.16762,337.2208149,3836.823494,0,0,0,0,0,0,0,0,0,0,0,9577.071143,0,0,0,0,0,0,0,0,0,0,0,7.493795886,0,0
86,N,11,13.24,16.65,1.67,0,0,3573.997801,3782.394174,0,0,0,0,0,0,0,0,0,0,0,0,7356.391975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
